Data;Ultimo;Abertura;Maxima;Minima;Volume;Variacao;b_Variacao_Positivo;Retorno_pct;SMA_3;SMA_7;SMA_14
02/01/1995;4.301;4.354;4.398;4.300;4100000000;-0,0122;0;-0,047198326;4.034;3.761;3.878
03/01/1995;4.098;4.370;4.386;4.094;8350000000;-0,0472;0;-0,031722792;3.944;3.724;3.853
04/01/1995;3.968;4.098;4.098;3.861;11950000000;-0,0317;0;0,017389113;3.831;3.744;3.844
05/01/1995;4.037;3.968;4.040;3.944;8760000000;0,0174;1;-0,052018826;3.575;3.746;3.836
06/01/1995;3.827;4.037;4.106;3.813;12020000000;-0,052;0;-0,051998955;3.466;3.801;3.833
09/01/1995;3.628;3.827;3.836;3.570;9450000000;-0,052;0;-0,098676957;3.537;3.865;3.830
10/01/1995;3.270;3.628;3.692;3.175;13160000000;-0,0987;0;0,070030581;3.815;3.942;3.874
11/01/1995;3.499;3.270;3.505;3.109;13970000000;0,07;1;0,097742212;4.000;3.994;3.909
12/01/1995;3.841;3.499;3.841;3.499;15010000000;0,0977;1;0,068471752;4.123;3.982;3.913
13/01/1995;4.104;3.841;4.108;3.785;13620000000;0,0685;1;-0,011695906;4.115;3.945;3.902
16/01/1995;4.056;4.104;4.104;3.865;9290000000;-0,0117;0;0,037968442;4.032;3.926;3.885
17/01/1995;4.210;4.056;4.256;3.985;8850000000;0,038;1;-0,031353919;3.916;3.865;3.845
18/01/1995;4.078;4.210;4.221;4.078;8940000000;-0,0314;0;-0,065963708;3.810;3.794;3.807
19/01/1995;3.809;4.078;4.078;3.776;7670000000;-0,066;0;0,013914413;3.820;3.805;3.778
20/01/1995;3.862;3.809;3.871;3.635;8570000000;0,0139;1;-0,026929052;3.842;3.824;3.739
23/01/1995;3.758;3.862;3.862;3.680;4920000000;-0,0269;0;0,021820117;3.850;3.844;3.706
24/01/1995;3.840;3.758;3.864;3.758;5680000000;0,0218;1;0,02265625;3.764;3.858;3.659
26/01/1995;3.927;3.840;3.973;3.840;6890000000;0,0227;1;-0,036414566;3.750;3.845;3.598
27/01/1995;3.784;3.927;3.951;3.734;6920000000;-0,0364;0;-0,053646934;3.819;3.824;3.532
30/01/1995;3.581;3.784;3.784;3.423;7870000000;-0,0536;0;0,084892488;3.924;3.820;3.492
31/01/1995;3.885;3.581;3.914;3.547;9730000000;0,0849;1;0,027027027;3.944;3.751;3.426
01/02/1995;3.990;3.885;4.067;3.885;10210000000;0,027;1;-0,023057644;3.891;3.654;3.341
02/02/1995;3.898;3.990;3.990;3.829;8220000000;-0,0231;0;0,011800924;3.804;3.567;3.268
03/02/1995;3.944;3.898;3.975;3.837;11830000000;0,0118;1;-0,028904665;3.674;3.460;3.216
06/02/1995;3.830;3.944;3.987;3.811;6230000000;-0,0289;0;-0,050391645;3.532;3.351;3.176
07/02/1995;3.637;3.830;3.830;3.637;7090000000;-0,0504;0;-0,022271103;3.422;3.241;3.130
08/02/1995;3.556;3.637;3.706;3.553;7790000000;-0,0223;0;-0,043307087;3.335;3.165;3.089
09/02/1995;3.402;3.556;3.556;3.284;8700000000;-0,0433;0;-0,027630805;3.265;3.102;3.051
10/02/1995;3.308;3.402;3.402;3.256;7320000000;-0,0276;0;-0,003929867;3.185;3.028;3.001
13/02/1995;3.295;3.308;3.433;3.288;7370000000;-0,0039;0;-0,031259484;3.042;2.968;2.935
14/02/1995;3.192;3.295;3.295;3.138;11040000000;-0,0313;0;-0,038533835;2.985;2.971;2.859
15/02/1995;3.069;3.192;3.285;3.061;12930000000;-0,0385;0;-0,066797002;2.950;3.000;2.832
16/02/1995;2.864;3.069;3.069;2.810;10500000000;-0,0668;0;0,05551676;2.926;3.018;2.818
17/02/1995;3.023;2.864;3.023;2.864;12490000000;0,0555;1;-0,02017863;2.876;3.013;2.818
20/02/1995;2.962;3.023;3.054;2.955;11310000000;-0,0202;0;-0,057056043;2.961;3.000;2.816
21/02/1995;2.793;2.962;2.963;2.782;10960000000;-0,0571;0;0,028284998;3.120;2.974;2.841
22/02/1995;2.872;2.793;2.883;2.762;11470000000;0,0283;1;0,120125348;3.159;2.902;2.849
23/02/1995;3.217;2.872;3.217;2.872;12090000000;0,1201;1;0,016785825;3.083;2.747;2.824
24/02/1995;3.271;3.217;3.346;3.184;11820000000;0,0168;1;-0,086212168;2.948;2.664;2.805
02/03/1995;2.989;3.271;3.267;2.970;6000000000;-0,0862;0;-0,00033456;2.824;2.618;2.806
03/03/1995;2.988;2.989;3.018;2.842;9450000000;-0,0003;0;-0,040495315;2.615;2.623;2.818
06/03/1995;2.867;2.988;3.036;2.856;8400000000;-0,0405;0;-0,08754796;2.372;2.633;2.853
07/03/1995;2.616;2.867;2.956;2.607;11620000000;-0,0875;0;-0,096712538;2.396;2.708;2.907
08/03/1995;2.363;2.616;2.701;2.351;13000000000;-0,0967;0;-0,095217943;2.498;2.796;2.971
09/03/1995;2.138;2.363;2.449;2.110;15760000000;-0,0952;0;0,256314312;2.791;2.901;3.046
10/03/1995;2.686;2.138;2.686;2.145;18400000000;0,2563;1;-0,005584512;2.876;2.947;3.078
13/03/1995;2.671;2.686;2.788;2.542;12250000000;-0,0056;0;0,129539498;3.033;2.994;3.100
14/03/1995;3.017;2.671;3.056;2.725;14100000000;0,1295;1;-0,025853497;3.021;3.013;3.091
15/03/1995;2.939;3.017;3.083;2.901;10100000000;-0,0259;0;0,069071113;2.998;3.073;3.104
16/03/1995;3.142;2.939;3.142;2.915;9490000000;0,0691;1;-0,051241248;2.952;3.106;3.107
17/03/1995;2.981;3.142;3.165;2.899;12940000000;-0,0512;0;-0,037235827;2.960;3.145;3.127
20/03/1995;2.870;2.981;3.039;2.844;8160000000;-0,0372;0;0,04738676;3.052;3.192;3.150
21/03/1995;3.006;2.870;3.035;2.874;8710000000;0,0474;1;-0,000665336;3.170;3.209;3.157
22/03/1995;3.004;3.006;3.149;2.944;11610000000;-0,0007;0;0,047270306;3.293;3.205;3.158
23/03/1995;3.146;3.004;3.146;2.915;9710000000;0,0473;1;0,06834075;3.330;3.169;3.149
24/03/1995;3.361;3.146;3.388;3.146;11720000000;0,0683;1;0,003272835;3.275;3.136;3.132
27/03/1995;3.372;3.361;3.495;3.336;9720000000;0,0033;1;-0,034400949;3.193;3.108;3.119
28/03/1995;3.256;3.372;3.372;3.238;8890000000;-0,0344;0;-0,017813268;3.101;3.108;3.124
29/03/1995;3.198;3.256;3.310;3.154;9540000000;-0,0178;0;-0,022514071;3.000;3.107;3.138
30/03/1995;3.126;3.198;3.356;3.117;11210000000;-0,0225;0;-0,047024952;2.999;3.106;3.165
31/03/1995;2.979;3.126;3.126;2.947;11840000000;-0,047;0;-0,028533065;3.066;3.111;3.217
03/04/1995;2.894;2.979;2.983;2.867;7390000000;-0,0285;0;0,079820318;3.187;3.129;3.283
04/04/1995;3.125;2.894;3.125;2.894;15830000000;0,0798;1;0,0176;3.209;3.128;3.335
05/04/1995;3.180;3.125;3.192;3.073;12410000000;0,0176;1;0,023584906;3.187;3.130;3.380
06/04/1995;3.255;3.180;3.302;3.180;17680000000;0,0236;1;-0,019047619;3.108;3.141;3.424
07/04/1995;3.193;3.255;3.257;3.160;10250000000;-0,019;0;-0,024741622;3.051;3.168;3.480
10/04/1995;3.114;3.193;3.193;3.105;5770000000;-0,0247;0;-0,030828516;3.051;3.225;3.546
11/04/1995;3.018;3.114;3.114;2.944;9460000000;-0,0308;0;0,000994036;3.109;3.322;3.617
12/04/1995;3.021;3.018;3.031;2.897;10510000000;0,001;1;0,030453492;3.213;3.437;3.681
17/04/1995;3.113;3.021;3.163;3.014;14000000000;0,0305;1;0,026019916;3.303;3.543;3.749
18/04/1995;3.194;3.113;3.198;3.081;13680000000;0,026;1;0,042892924;3.409;3.631;3.810
19/04/1995;3.331;3.194;3.338;3.182;13770000000;0,0429;1;0,015911138;3.532;3.707;3.854
20/04/1995;3.384;3.331;3.402;3.270;11020000000;0,0159;1;0,038120567;3.679;3.792;3.898
24/04/1995;3.513;3.384;3.516;3.377;11810000000;0,0381;1;0,0529462;3.792;3.867;3.925
25/04/1995;3.699;3.513;3.777;3.478;15420000000;0,0529;1;0,034333604;3.830;3.912;3.935
26/04/1995;3.826;3.699;3.908;3.699;15820000000;0,0343;1;0,006534239;3.842;3.924;3.945
27/04/1995;3.851;3.826;3.913;3.782;15220000000;0,0065;1;-0,009607894;3.884;3.955;3.956
28/04/1995;3.814;3.851;3.924;3.787;10930000000;-0,0096;0;0,012585212;3.961;3.988;3.966
02/05/1995;3.862;3.814;3.879;3.727;8040000000;0,0126;1;0,029518384;4.009;4.001;3.978
03/05/1995;3.976;3.862;4.053;3.862;13910000000;0,0295;1;0,017102616;3.989;4.004;3.983
04/05/1995;4.044;3.976;4.064;3.945;12960000000;0,0171;1;-0,008902077;3.996;3.983;3.987
05/05/1995;4.008;4.044;4.081;3.986;7940000000;-0,0089;0;-0,023453094;4.010;3.958;3.988
08/05/1995;3.914;4.008;4.008;3.901;8920000000;-0,0235;0;0,038579458;4.022;3.965;3.987
